hc-key,id,numero,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10
AV,Aveiro,0,0,0,,,,0,0,0,0,0
AC,Azores,0,0,0,,,,0,0,0,0,0
BE,Beja,0,0,0,,,,0,0,0,0,0
BR,Braga,0,0,0,,,,0,0,0,0,0
BA,Braganca,0,0,0,,,,0,0,0,0,0
CB,Castelo Branco,0,0,0,,,,0,0,0,0,0
CO,Coimbra,2,0,0,,,,1,1,1,1,2
EV,Evora,0,0,0,,,,0,0,0,0,0
FA,Faro,2,0,0,,,,0,0,1,2,2
GU,Guarda,0,0,0,,,,0,0,0,0,0
LE,Leiria,0,0,0,,,,0,0,0,0,0
LI,Lisboa,10,0,0,,,,4,4,6,9,10
MA,Madeira,0,0,0,,,,0,0,0,0,0
PA,Portalegre,0,0,0,,,,0,0,0,0,0
PO,Porto,27,0,2,,,,8,15,22,27,27
SA,Santarem,0,0,0,,,,0,0,0,0,0
SE,Setubal,0,0,0,,,,0,0,0,0,0
VC,Viana do Castelo,0,0,0,,,,0,0,0,0,0
VR,Vila Real,0,0,0,,,,0,0,0,0,0
VI,Viseu,0,0,0,,,,0,0,0,0,0